,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,MOV,Pace,TS%,W,L,Year
0,1.0,Cleveland Cavaliers,82,242.4,39.0,83.5,0.468,11.3,30.6,0.368,27.8,52.9,0.525,17.5,22.4,0.782,9.8,31.5,41.2,23.0,7.0,4.4,15.7,20.4,106.9,25.4,5.38,95.7,0.59,51.0,31.0,2023
1,2.0,Miami Heat,82,241.5,40.1,83.2,0.482,13.1,35.8,0.367,27.0,47.4,0.569,16.5,21.1,0.781,8.9,33.0,41.8,25.6,7.0,3.8,15.7,20.0,109.8,27.7,-0.32,96.3,0.574,44.0,38.0,2023
2,3.0,Philadelphia 76ers,82,242.4,40.4,85.4,0.473,11.6,33.4,0.348,28.8,52.1,0.553,18.5,23.7,0.781,9.5,31.6,41.2,24.2,6.6,4.6,14.3,19.6,110.9,28.2,4.32,96.9,0.608,54.0,28.0,2023
3,4.0,Boston Celtics,82,243.7,41.8,90.2,0.463,11.6,33.7,0.345,30.1,56.5,0.534,16.2,21.1,0.769,9.7,34.3,44.0,23.1,6.6,3.9,12.7,19.1,111.4,27.4,6.52,98.5,0.6,57.0,25.0,2023
4,5.0,Toronto Raptors,82,241.5,40.4,82.3,0.491,12.2,32.6,0.374,28.2,49.7,0.567,18.4,23.1,0.797,9.2,33.0,42.3,26.2,6.0,4.6,16.7,19.6,111.4,25.8,1.48,97.1,0.555,41.0,41.0,2023
5,6.0,Phoenix Suns,82,241.2,40.0,85.9,0.466,11.4,32.0,0.357,28.6,53.9,0.53,20.1,25.6,0.786,10.2,32.6,42.9,23.4,7.2,4.0,14.4,19.9,111.6,28.1,2.07,98.2,0.57,45.0,37.0,2023
6,7.0,Chicago Bulls,82,242.7,40.7,87.1,0.468,13.2,37.1,0.357,27.5,50.0,0.55,17.1,22.0,0.779,9.6,33.7,43.3,26.0,6.7,4.7,15.0,18.7,111.8,27.5,1.29,98.5,0.587,40.0,42.0,2023
7,8.0,Denver Nuggets,82,240.9,41.7,87.4,0.478,11.4,33.1,0.344,30.4,54.3,0.559,17.6,22.7,0.775,10.1,30.7,40.8,25.7,7.9,4.2,13.5,19.5,112.5,26.6,3.33,98.1,0.601,53.0,29.0,2023
8,9.0,Brooklyn Nets,82,240.6,41.0,88.5,0.463,11.8,32.2,0.367,29.2,56.3,0.518,18.7,24.4,0.767,11.5,33.6,45.1,23.4,7.0,3.9,13.7,18.5,112.5,28.0,0.85,98.3,0.598,45.0,37.0,2023
9,10.0,New Orleans Pelicans,82,242.1,40.9,86.6,0.472,12.2,36.0,0.339,28.7,50.6,0.567,18.4,23.6,0.779,9.7,32.1,41.8,24.9,7.3,4.7,15.0,20.4,112.5,25.9,1.89,99.1,0.582,42.0,40.0,2023
10,11.0,Memphis Grizzlies,82,241.2,40.7,89.8,0.453,13.0,36.6,0.355,27.7,53.3,0.521,18.5,23.5,0.787,11.0,33.4,44.4,26.4,6.8,5.2,15.1,20.0,113.0,24.4,3.94,101.1,0.57,51.0,31.0,2023
11,12.0,New York Knicks,82,243.4,40.8,88.2,0.462,13.0,36.5,0.357,27.7,51.7,0.537,18.5,23.7,0.782,10.1,31.9,42.0,25.1,6.0,4.5,12.7,20.7,113.1,24.5,2.93,97.1,0.577,47.0,35.0,2023
12,13.0,Los Angeles Clippers,82,241.8,41.8,88.3,0.474,12.2,33.4,0.365,29.6,54.9,0.539,17.2,22.3,0.771,10.2,32.9,43.1,25.0,7.8,4.2,13.0,19.6,113.1,29.7,0.5,98.0,0.588,44.0,38.0,2023
13,14.0,Milwaukee Bucks,82,241.8,42.5,93.2,0.456,12.1,34.1,0.354,30.4,59.1,0.514,16.3,21.0,0.776,10.7,33.5,44.2,23.9,7.0,3.9,11.8,19.0,113.3,29.8,3.63,100.5,0.583,58.0,24.0,2023
14,15.0,Orlando Magic,82,241.2,41.3,86.9,0.476,13.0,37.0,0.351,28.4,50.0,0.567,18.3,23.0,0.796,9.5,32.5,42.0,25.9,7.7,5.1,14.7,20.5,114.0,23.1,-2.56,99.3,0.573,34.0,48.0,2023
15,16.0,Dallas Mavericks,82,243.0,41.8,86.2,0.485,11.1,31.7,0.352,30.6,54.5,0.562,19.5,25.0,0.781,10.1,34.6,44.7,24.9,6.4,3.8,13.1,21.8,114.1,27.8,0.07,96.6,0.599,38.0,44.0,2023
16,17.0,Washington Wizards,82,240.9,42.5,89.8,0.473,12.0,32.8,0.366,30.5,57.0,0.534,17.5,21.9,0.798,10.8,32.3,43.0,24.8,7.1,5.0,12.3,19.4,114.4,26.2,-1.21,98.6,0.585,35.0,47.0,2023
17,18.0,Minnesota Timberwolves,82,241.8,41.8,88.7,0.471,12.3,33.3,0.369,29.5,55.5,0.532,19.9,26.0,0.766,11.3,33.3,44.7,25.0,8.2,4.1,15.4,20.2,115.8,25.8,-0.04,101.0,0.592,42.0,40.0,2023
18,19.0,Oklahoma City Thunder,82,242.1,41.9,88.4,0.474,12.9,36.0,0.358,29.0,52.4,0.553,19.6,25.5,0.771,12.0,34.6,46.6,25.9,7.0,5.5,16.8,20.4,116.4,22.8,1.09,101.1,0.57,40.0,42.0,2023
19,20.0,Los Angeles Lakers,82,242.4,44.0,93.9,0.469,12.5,36.5,0.344,31.5,57.4,0.548,16.1,20.8,0.773,11.1,33.8,44.9,25.7,7.6,5.1,12.6,21.5,116.6,27.9,0.57,101.3,0.582,43.0,39.0,2023
20,21.0,Golden State Warriors,82,241.8,42.4,90.5,0.469,12.9,35.5,0.364,29.5,55.0,0.536,19.4,25.2,0.769,10.7,32.6,43.3,25.7,7.9,4.0,14.3,18.4,117.1,27.3,1.8,101.6,0.6,44.0,38.0,2023
21,22.0,Charlotte Hornets,82,241.8,43.0,90.1,0.477,12.2,34.3,0.357,30.7,55.8,0.55,19.0,24.0,0.795,10.9,35.3,46.2,25.9,7.0,5.7,14.4,20.3,117.2,25.3,-6.24,100.8,0.55,27.0,55.0,2023
22,23.0,Portland Trail Blazers,82,240.6,43.0,87.5,0.491,12.5,33.1,0.379,30.4,54.4,0.559,19.0,24.1,0.787,10.5,32.8,43.2,27.0,7.8,4.3,13.5,20.5,117.4,25.1,-4.01,98.6,0.589,33.0,49.0,2023
23,24.0,Utah Jazz,82,241.5,43.4,91.6,0.473,12.5,34.5,0.361,30.9,57.1,0.54,18.8,24.3,0.776,11.2,32.2,43.5,25.0,7.8,4.9,12.6,20.5,118.0,26.5,-0.94,100.5,0.584,37.0,45.0,2023
24,25.0,Sacramento Kings,82,241.8,43.8,88.9,0.492,12.5,33.4,0.373,31.3,55.5,0.564,18.1,23.0,0.787,9.7,32.5,42.2,26.7,7.3,4.2,14.2,20.9,118.1,25.4,2.65,100.3,0.608,48.0,34.0,2023
25,26.0,Atlanta Hawks,82,242.1,43.8,90.2,0.486,11.9,33.5,0.356,31.9,56.7,0.562,18.6,23.2,0.803,10.6,33.5,44.1,26.0,7.5,5.0,14.2,19.7,118.1,24.9,0.29,100.7,0.579,41.0,41.0,2023
26,27.0,Detroit Pistons,82,241.5,43.1,88.1,0.489,12.0,33.3,0.36,31.1,54.8,0.568,20.4,26.2,0.777,11.0,33.7,44.7,25.8,7.7,5.5,13.5,21.0,118.5,24.1,-8.22,99.0,0.561,17.0,65.0,2023
27,28.0,Houston Rockets,82,240.9,42.4,88.1,0.482,14.5,38.8,0.374,27.9,49.3,0.567,19.2,24.2,0.794,10.5,31.0,41.5,26.1,8.8,6.2,13.2,20.6,118.6,22.1,-7.85,99.0,0.554,22.0,60.0,2023
28,29.0,Indiana Pacers,82,240.9,43.3,89.3,0.485,12.4,33.3,0.373,30.9,56.0,0.551,20.5,25.6,0.8,12.1,33.2,45.3,26.4,7.9,5.3,15.1,20.2,119.5,24.5,-3.18,101.1,0.581,35.0,47.0,2023
29,30.0,San Antonio Spurs,82,242.1,46.1,91.0,0.507,12.6,32.3,0.391,33.5,58.6,0.571,18.2,23.7,0.77,10.7,34.3,45.0,26.8,8.1,5.3,13.8,18.5,123.1,23.9,-10.04,101.6,0.554,22.0,60.0,2023
0,1.0,Boston Celtics,82,242.7,38.3,88.1,0.434,11.8,34.9,0.339,26.4,53.2,0.497,16.1,20.6,0.783,10.5,33.3,43.7,21.6,7.5,4.6,13.8,19.4,104.5,26.1,7.28,96.6,0.578,51.0,31.0,2022
1,2.0,Dallas Mavericks,82,240.9,39.0,85.4,0.457,10.9,32.1,0.34,28.1,53.2,0.527,15.8,20.6,0.767,9.5,34.1,43.6,23.5,7.0,3.7,13.1,20.1,104.7,26.7,3.3,95.4,0.572,52.0,30.0,2022
2,3.0,Golden State Warriors,82,240.6,37.9,86.6,0.438,12.2,36.0,0.339,25.7,50.6,0.509,17.4,22.9,0.759,9.7,33.0,42.6,22.9,7.9,3.9,14.5,18.0,105.5,27.6,5.54,98.4,0.582,53.0,29.0,2022
3,4.0,Miami Heat,82,242.1,37.5,84.0,0.447,13.0,38.3,0.339,24.6,45.7,0.537,17.5,22.5,0.779,9.5,32.1,41.7,23.3,7.4,4.0,15.0,20.6,105.6,28.2,4.45,95.9,0.584,53.0,29.0,2022
4,5.0,Cleveland Cavaliers,82,240.6,39.5,87.2,0.452,11.7,33.2,0.353,27.8,54.0,0.514,15.0,19.4,0.774,10.5,32.4,42.9,24.1,8.4,4.6,13.4,20.0,105.7,24.7,2.12,96.1,0.571,44.0,38.0,2022
5,6.0,New York Knicks,82,241.2,38.5,86.0,0.447,12.7,37.0,0.342,25.8,49.0,0.527,17.0,22.3,0.764,9.3,34.3,43.6,24.2,7.0,4.6,12.7,20.4,106.6,26.0,-0.12,95.9,0.55,37.0,45.0,2022
6,7.0,Toronto Raptors,82,242.1,39.0,84.4,0.462,12.4,34.9,0.354,26.6,49.5,0.538,16.8,21.2,0.789,10.3,33.7,44.0,25.3,6.7,5.1,15.8,19.1,107.1,24.8,2.29,96.0,0.543,48.0,34.0,2022
7,8.0,Phoenix Suns,82,240.6,39.2,88.3,0.444,11.6,34.2,0.34,27.6,54.1,0.51,17.3,22.7,0.761,10.5,33.9,44.5,22.9,7.5,4.0,14.7,18.9,107.3,27.5,7.5,99.8,0.581,64.0,18.0,2022
8,9.0,Philadelphia 76ers,82,241.5,39.7,86.5,0.458,11.4,32.8,0.346,28.3,53.7,0.527,16.6,21.6,0.769,10.2,34.0,44.2,23.6,6.6,4.6,13.3,19.4,107.3,26.8,2.61,96.2,0.578,51.0,31.0,2022
9,10.0,Utah Jazz,82,240.6,40.4,89.2,0.453,12.1,34.6,0.35,28.3,54.6,0.518,14.6,19.3,0.758,9.9,31.7,41.6,23.4,7.8,4.3,12.0,20.3,107.6,29.3,6.04,97.1,0.589,49.0,33.0,2022
10,11.0,Los Angeles Clippers,82,241.2,40.8,90.6,0.45,11.7,33.9,0.345,29.1,56.7,0.513,15.2,19.6,0.775,12.0,35.1,47.1,24.1,7.7,4.1,13.6,18.5,108.4,27.5,0.02,98.0,0.564,42.0,40.0,2022
11,12.0,Memphis Grizzlies,82,241.2,40.3,88.6,0.455,12.0,34.5,0.349,28.3,54.2,0.522,17.3,22.4,0.771,10.0,33.0,43.0,25.0,7.2,6.0,15.1,19.8,109.9,24.0,5.68,100.3,0.553,56.0,26.0,2022
12,13.0,New Orleans Pelicans,82,240.9,40.3,85.5,0.471,13.0,35.5,0.365,27.3,50.0,0.546,16.8,21.4,0.786,9.3,32.5,41.8,24.9,7.4,4.8,14.2,20.5,110.3,25.6,-0.99,97.2,0.557,36.0,46.0,2022
13,14.0,Denver Nuggets,82,241.5,41.1,87.4,0.47,11.8,34.2,0.346,29.2,53.2,0.549,16.5,21.7,0.757,9.7,32.7,42.4,25.4,7.9,4.8,12.8,19.9,110.4,27.7,2.3,97.8,0.59,48.0,34.0,2022
14,15.0,Oklahoma City Thunder,82,241.5,41.4,90.5,0.458,13.6,38.7,0.353,27.8,51.8,0.536,15.3,19.9,0.771,11.0,37.3,48.4,26.1,8.5,6.0,13.2,17.8,111.8,22.4,-8.1,98.5,0.53,24.0,58.0,2022
15,16.0,Washington Wizards,82,241.8,41.3,88.9,0.464,11.5,31.8,0.361,29.8,57.1,0.522,18.0,22.3,0.807,10.2,34.0,44.2,23.7,7.3,4.2,11.9,19.9,112.0,25.9,-3.38,97.0,0.568,35.0,47.0,2022
16,17.0,Chicago Bulls,82,240.6,41.4,87.4,0.474,11.7,32.0,0.366,29.7,55.5,0.536,17.4,21.9,0.795,9.3,33.9,43.2,25.0,7.1,5.0,13.1,18.2,112.0,26.3,-0.39,98.3,0.579,46.0,36.0,2022
17,18.0,Milwaukee Bucks,82,240.9,41.4,90.6,0.456,14.5,40.6,0.356,26.9,50.0,0.537,15.0,19.9,0.751,9.9,34.2,44.1,25.9,7.4,4.4,13.0,19.7,112.1,28.5,3.35,99.9,0.58,51.0,31.0,2022
18,19.0,Brooklyn Nets,82,240.9,40.7,90.2,0.452,12.5,36.3,0.345,28.2,53.9,0.523,18.1,23.0,0.788,11.3,32.8,44.1,23.8,7.9,4.9,13.3,19.7,112.1,29.1,0.78,99.0,0.576,44.0,38.0,2022
19,20.0,Orlando Magic,82,241.2,40.8,89.0,0.458,13.2,36.3,0.363,27.6,52.7,0.524,17.4,22.6,0.772,10.4,36.8,47.1,24.8,8.0,5.2,13.2,18.3,112.2,23.3,-8.0,99.2,0.538,22.0,60.0,2022
20,21.0,Atlanta Hawks,82,240.3,41.9,89.0,0.471,12.8,35.2,0.364,29.1,53.7,0.541,15.8,19.9,0.792,10.2,33.6,43.9,25.4,7.0,4.5,12.8,20.3,112.4,26.1,1.56,97.7,0.581,43.0,39.0,2022
21,22.0,Detroit Pistons,82,241.2,40.6,86.0,0.473,11.8,32.5,0.362,28.9,53.5,0.54,19.5,25.1,0.777,10.3,35.9,46.3,25.1,7.4,5.2,14.6,19.8,112.5,23.6,-7.72,98.4,0.533,23.0,59.0,2022
22,23.0,San Antonio Spurs,82,241.5,42.5,91.2,0.466,12.1,33.6,0.36,30.4,57.5,0.528,16.0,20.9,0.767,11.4,35.4,46.8,24.0,7.3,4.9,13.8,18.9,113.0,24.5,0.12,100.0,0.556,34.0,48.0,2022
23,24.0,Minnesota Timberwolves,82,241.2,40.2,87.4,0.46,13.1,37.3,0.35,27.2,50.0,0.543,19.8,25.4,0.78,11.0,34.9,45.9,26.2,7.2,4.8,16.3,20.9,113.3,24.2,2.63,100.9,0.573,46.0,36.0,2022
24,25.0,Indiana Pacers,82,242.4,42.5,88.0,0.483,12.0,32.3,0.372,30.5,55.7,0.547,17.9,22.5,0.797,10.2,33.0,43.1,25.1,8.1,4.9,13.3,19.2,114.9,26.0,-3.48,98.0,0.564,25.0,57.0,2022
25,26.0,Charlotte Hornets,82,242.4,42.0,90.1,0.466,14.0,38.7,0.362,28.0,51.4,0.544,16.9,22.1,0.763,11.4,35.6,47.0,26.5,7.5,4.6,15.0,19.6,114.9,25.5,0.44,100.0,0.572,43.0,39.0,2022
26,27.0,Los Angeles Lakers,82,243.7,42.6,90.5,0.47,12.6,35.8,0.352,30.0,54.7,0.548,17.4,23.3,0.747,11.0,35.6,46.6,26.3,8.3,4.1,14.0,20.1,115.1,30.2,-3.05,100.1,0.567,33.0,49.0,2022
27,28.0,Portland Trail Blazers,82,240.6,41.1,85.9,0.479,13.8,37.1,0.371,27.4,48.8,0.561,19.1,24.6,0.777,9.8,35.0,44.7,26.6,8.2,5.0,14.0,19.4,115.1,25.6,-8.88,98.3,0.55,27.0,55.0,2022
28,29.0,Sacramento Kings,82,241.5,43.4,90.6,0.479,13.0,34.9,0.372,30.4,55.7,0.547,15.9,20.5,0.776,10.6,35.3,45.8,25.3,8.1,4.8,13.5,20.3,115.8,25.8,-5.46,99.8,0.561,30.0,52.0,2022
29,30.0,Houston Rockets,82,240.9,43.4,89.9,0.483,12.8,36.2,0.353,30.7,53.8,0.57,18.5,23.7,0.782,11.2,34.5,45.7,25.6,9.5,5.8,14.1,22.1,118.2,24.1,-8.48,100.9,0.565,20.0,62.0,2022
0,1.0,New York Knicks,72,242.1,37.9,86.2,0.44,12.0,35.6,0.337,25.9,50.6,0.512,16.9,22.2,0.761,9.7,34.4,44.1,23.6,6.6,5.4,12.8,17.9,104.7,25.6,2.31,95.9,0.559,41.0,31.0,2021
1,2.0,Los Angeles Lakers,72,242.4,39.8,86.4,0.46,11.4,32.2,0.352,28.4,54.2,0.524,15.9,20.5,0.776,8.8,33.2,42.0,24.7,8.2,4.5,15.2,21.3,106.8,28.2,2.79,98.7,0.569,42.0,30.0,2021
2,3.0,Utah Jazz,72,241.0,40.9,91.4,0.447,10.9,31.8,0.341,30.0,59.6,0.504,14.5,18.9,0.768,9.8,32.8,42.6,22.3,7.7,3.9,11.5,19.0,107.2,28.5,9.25,98.5,0.597,52.0,20.0,2021
3,4.0,Los Angeles Clippers,72,240.0,40.1,86.4,0.464,11.6,32.5,0.356,28.5,53.9,0.529,16.1,20.7,0.777,9.2,32.0,41.2,22.9,7.1,4.2,12.8,18.1,107.8,28.8,6.18,96.9,0.599,47.0,25.0,2021
4,5.0,Miami Heat,72,241.4,39.1,85.2,0.459,14.3,39.1,0.365,24.8,46.2,0.538,15.6,19.9,0.782,9.5,33.4,42.9,25.8,7.5,4.0,15.1,19.6,108.0,27.4,0.03,96.6,0.581,40.0,32.0,2021
5,6.0,Philadelphia 76ers,72,242.1,39.4,86.9,0.453,11.9,33.0,0.36,27.5,53.9,0.51,17.4,22.8,0.764,9.8,33.2,42.9,23.5,7.2,4.7,15.6,21.0,108.1,27.1,5.58,99.5,0.579,49.0,23.0,2021
6,7.0,Phoenix Suns,72,242.8,40.5,86.8,0.467,11.6,32.8,0.354,28.9,54.0,0.535,16.8,21.7,0.778,9.4,33.3,42.7,22.9,6.9,3.6,13.6,18.0,109.5,26.6,5.82,97.2,0.597,51.0,21.0,2021
7,8.0,Denver Nuggets,72,242.8,40.0,85.4,0.469,13.0,35.7,0.363,27.1,49.7,0.545,17.1,22.1,0.773,9.1,32.1,41.2,25.9,7.5,4.5,14.1,19.2,110.1,26.1,4.93,97.1,0.588,47.0,25.0,2021
8,9.0,Dallas Mavericks,72,240.3,40.1,87.1,0.46,12.8,35.2,0.365,27.2,51.8,0.525,17.2,22.5,0.764,9.8,34.2,43.9,22.7,7.3,3.7,12.6,20.1,110.2,26.3,2.26,97.3,0.582,42.0,30.0,2021
